"","Constituency_Name","V1"
"1","ANDAMAN & NICOBAR ISLANDS",13.4533932283932
"2","ADILABAD",2.61404678124653
"3","PEDDAPALLI",2.54238838745435
"4","KARIMNAGAR",2.33671823111793
"5","NIZAMABAD",2.42201774771036
"6","ZAHIRABAD",2.50720999838102
"7","MEDAK",2.35899375458121
"8","MALKAJGIRI",1.13845790386239
"9","SECUNDERABAD",1.91357001828656
"10","HYDERABAD",1.98758897048459
"11","CHELVELLA",1.65836797604207
"12","MAHABUBNAGAR",2.5543721293495
"13","NAGARKURNOOL",2.45298431941948
"14","NALGONDA",2.4250162111376
"15","BHONGIR",2.42843376400579
"16","WARANGAL",2.35652090223686
"17","WARANGAL(SC)",2.35652090223686
"18","MAHABUBABAD",2.61215118994758
"19","KHAMMAM",2.51606542398041
"20","ARUKU",2.848142792021
"21","SRIKAKULAM",2.56330151670126
"22","VIZIANAGARAM",2.58154382305505
"23","VISAKHAPATNAM",2.10318216192468
"24","ANAKAPALLI",2.58571047340158
"25","KAKINADA",2.55505291583527
"26","AMALAPURAM",2.66875278470246
"27","RAJAHMUNDRY",2.54968493100566
"28","NARSAPURAM",2.73489013062365
"29","ELURU",2.53809873340412
"30","MACHILIPATNAM",2.64644481786826
"31","VIJAYAWADA",2.31625176652415
"32","GUNTUR",2.30519517282574
"33","NARASARAOPET",2.39217063479752
"34","BAPATLA",2.60150728949205
"35","ONGOLE",2.46481867921089
"36","NANDYAL",2.29799136938828
"37","KURNOOL",2.4455581117715
"38","ANANTAPUR",2.35787634020303
"39","HINDUPUR",2.5052305709798
"40","CUDDAPAH",2.33727587007559
"41","NELLORE",2.25623876567669
"42","TIRUPATHI",2.30205550766408
"43","RAJAMPET",2.43569560509507
"44","CHITTOOR",2.49599029101471
"45","ARUNACHAL WEST",8.11348289450116
"46","ARUNACHAL EAST",11.5886141526811
"47","KARIMGANJ",3.107903365103
"48","SILCHAR",3.41812059329828
"49","AUTONOMOUS DISTRICT",5.16042607123022
"50","DHUBRI",2.33768899588818
"51","KOKRAJHAR",2.40708960379203
"52","BARPETA",2.53379695536531
"53","GAUHATI",1.88517013738965
"54","MANGALDOI",2.39088433147981
"55","TEZPUR",2.87702291579335
"56","NOWGONG",2.37801114391478
"57","KALIABOR",2.48679573900697
"58","JORHAT",3.04653102264339
"59","DIBRUGARH",3.22315208061869
"60","LAKHIMPUR",2.53221762584901
"61","LAKHIMPUR , DISTRICT, LAKHIMPUR",2.53221762584901
"62","VALMIKI NAGAR",2.48785594927358
"63","PASCHIM CHAMPARAN",2.56434994777617
"64","PURVI CHAMPARAN",2.51783807294478
"65","SHEOHAR",2.43895784159521
"66","SITAMARHI",2.30095484578841
"67","MADHUBANI",2.22615478747193
"68","JHANJHARPUR",2.17201818503301
"69","SUPAUL",2.37535814177269
"70","ARARIA",2.28295403860062
"71","KISHANGANJ",2.5182982508565
"72","KATIHAR",2.50526174611712
"73","PURNIA",2.28974249127716
"74","MADHEPURA",2.09991348403221
"75","DARBHANGA",2.42322920602229
"76","MUZAFFARPUR",2.3358852828126
"77","VAISHALI",2.31357812351364
"78","GOPALGANJ (SC)",2.18982522760536
"79","SIWAN",2.31721893264103
"80","MAHARAJGANJ",2.07890628988871
"81","SARAN",2.35504763637782
"82","HAJIPUR (SC)",2.19684919556703
"83","UJIARPUR",2.54085177781502
"84","SAMASTIPUR (SC)",2.40872318207771
"85","BEGUSARAI",2.0372664312591
"86","KHAGARIA",2.40530815678086
"87","BHAGALPUR",2.15019411524922
"88","BANKA",2.33876018421949
"89","MUNGER",2.10688355240514
"90","NALANDA",1.85648937712574
"91","PATNA SAHIB",1.86194366702308
"92","PATALIPUTRA",2.08735687534057
"93","ARRAH",1.98617495608422
"94","BUXAR",2.20873410939792
"95","SASARAM (SC)",2.25396533161001
"96","KARAKAT",2.29273838732903
"97","JAHANABAD",2.54615575944004
"98","AURANGABAD",2.2799908141148
"99","GAYA (SC)",2.41342345528301
"100","NAWADA",2.13807108994952
"101","JAMUI (SC)",2.33652839317677
"102","CHANDIGARH",5.89031784062131
"103","SARGUJA",2.37935236654494
"104","RAIGARH",2.22736299662743
"105","JANJGIR-CHAMPA",2.07763096111056
"106","KORBA",2.54529197621176
"107","BILASPUR",2.09561949284913
"108","RAJNANDGAON",2.27715689533503
